id,deep
17444,42
17445,172
17446,63
17523,3
18481,30
18485,183
18529,73
18530,23
18531,62
18566,158
18569,26
18577,41
19030,64
19032,84
19117,103
19652,136
19653,85
19706,71
19707,60
19708,25
19775,40
19776,15
19777,290
19778,25
19779,204
19780,34
19864,66
19866,123
19867,37
19869,42
19952,38
20039,159
20041,81
20043,131
20136,41
20138,43
20140,64
20260,33
20261,60
20263,87
20264,61
20265,35
20266,36
20408,68
20409,30
20410,35
20411,41
20412,24
20413,38
20543,96
20544,123
20545,73
20546,53
20547,34
20548,25
20661,22
20667,76
20762,46
20764,51
20765,55
21382,26
21479,43
21481,29
21483,35
21586,61
21663,83
21737,66
21739,3
21812,31
21814,11
21816,11
21879,74
21947,16
21949,64
22006,14
22008,24
22071,94
22173,18
22175,21
22237,36
22239,7
22305,16
22307,7
22380,7
22382,17
22384,32
22445,66
22447,51
22509,13
22511,34
22513,78
22587,62
22589,48
22591,37
22677,11
22679,23
22681,34
22764,10
22766,60
22768,11
22830,31
22832,75
22893,31
22895,62
22897,26
22963,72
22965,20
22967,20
23040,39
23109,39
23111,32
23113,15
23220,26
23222,131
23224,41
23334,40
23336,17
23338,29
23441,39
23442,59
23443,67
23444,17
23445,63
23539,68
23540,58
23541,30
23542,66
23543,72
23630,59
23631,40
23632,53
23633,98
23634,92
24554,167
24555,136
30379,41
30529,25
30530,52
30805,24
31172,43
31173,23
31174,14
31412,9
31413,77
31414,12
31416,16
31417,104
31418,56
31434,40
31622,30
31623,62
31640,82
31641,36
31677,31
32069,43
32072,24
32078,13
32124,7
32126,20
32128,77
32136,42
32137,44
32138,61
32139,37
32160,47
32196,44
32198,132
32222,29
32226,13
32228,13
32266,61
32267,41
32291,27
32319,114
32320,60
32347,98
32348,51
32350,110
32351,106
32352,55
32519,82
32520,83
32521,43
32522,25
32523,18
32534,33
32535,20
32536,33
32537,24
32550,92
32551,63
32552,36
32553,45
32554,77
32555,15
32560,29
32561,60
32596,85
32598,26
32600,45
32651,37
32654,86
32724,96
32725,42
32726,78
32728,78
32736,5
32737,6
32738,11
32753,21
32754,20
32755,40
32792,48
32794,52
32833,74
32849,9
32910,120
32911,43
32912,31
32913,52
32920,22
32922,52
32923,82
32925,12
32937,25
32991,37
33023,9
33035,13
33037,87
33038,30
33054,86
33083,27
33087,20
33091,28
33108,30
33136,49
33139,49
33158,30
33161,36
33242,26
33243,60
33244,47
33252,55
33295,12
33296,29
33299,7
33300,40
33316,24
33348,100
33349,88
33350,61
33351,50
33352,106
33371,63
33375,64
33376,79
33461,13
33514,27
33563,61
33565,51
33581,85
33582,21
33583,32
33593,45
33594,31
33596,17
33607,42
33712,104
33713,27
33717,56
33725,3
33727,23
33728,16
33753,25
33757,25
33760,38
33762,45
33791,59
33801,32
33806,90
33848,88
33849,28
33850,43
33851,114
33852,28
33858,37
33897,121
33899,64
33934,38
33935,101
33967,60
33968,68
33969,32
33970,41
33971,107
34050,41
34082,19
34083,24
34084,96
34085,38
34086,94
34087,128
34158,78
34201,57
34202,122
34203,26
34228,163
34301,66
34303,57
34305,134
34345,43
34347,32
34348,43
34356,119
34358,134
34385,119
34387,82
34389,92
34468,69
34469,34
34470,40
34471,18
34473,27
34474,56
34483,109
34485,85
34489,125
34491,36
34492,60
34516,106
34614,39
34615,14
34618,63
34619,34
34640,67
34766,35
34767,253
34768,82
34780,53
34915,29
34916,38
34917,51
34918,70
34919,149
34935,72
34941,25
35066,18
35068,13
35069,38
35070,39
35071,27
35078,40
35159,18
35214,31
35215,41
35216,42
35217,92
35337,14
35338,36
