id,deep
1266,62
1283,77
1269,18
1271,43
1285,117
1274,55
1276,40
1277,116
1278,48
1279,127
1286,53
1284,57
1289,102
1287,40
1300,37
1290,17
1291,55
1292,59
1293,50
1294,26
1296,74
1298,22
1309,51
1301,17
1303,26
1304,19
1305,31
1307,106
1308,38
1310,57
1311,44
1312,91
1358,45
1344,32
1328,39
1334,22
1337,35
1338,20
1354,91
1345,58
1346,19
1348,34
1349,39
1351,56
1371,30
1355,90
1356,53
1357,136
1359,34
555,12
556,49
557,34
558,32
559,47
560,235
562,70
718,26
721,53
581,30
563,130
564,57
565,90
566,42
569,100
572,29
573,39
575,29
576,136
577,75
604,20
582,38
583,62
584,15
585,49
587,10
588,42
589,28
590,22
591,35
617,28
596,48
600,15
601,48
602,63
603,14
804,37
605,38
606,18
607,41
608,57
609,25
610,164
611,78
612,30
613,81
614,21
615,214
616,40
631,67
618,12
619,39
620,30
621,55
622,111
623,25
624,102
625,75
626,40
629,42
630,32
723,21
633,25
636,47
356,22
357,42
360,16
368,52
369,25
370,50
371,38
372,20
373,30
381,30
382,9
383,45
384,22
387,23
389,27
390,17
391,26
392,14
393,56
394,52
395,28
396,39
397,67
399,19
400,18
405,16
406,39
408,40
411,42
413,80
414,25
415,51
433,11
450,24
419,61
421,17
423,45
427,54
428,64
429,177
455,114
462,126
484,34
456,59
457,62
458,105
459,52
460,89
461,42
471,65
463,96
464,76
465,24
466,63
467,70
468,46
469,67
470,41
525,36
472,29
473,129
475,28
476,125
477,68
478,25
479,50
481,69
482,99
483,76
637,43
485,33
486,33
490,29
491,47
492,34
493,48
494,60
495,78
496,91
497,30
511,28
500,216
501,90
502,16
503,48
504,49
505,29
507,72
508,38
509,19
526,40
512,42
515,12
516,28
518,85
520,22
522,27
550,56
537,124
527,17
528,26
531,49
532,38
533,78
535,25
536,57
551,38
538,11
541,79
543,26
544,31
546,31
547,72
548,18
549,42
638,26
640,55
552,15
553,57
554,52
2827,61
1730,45
1645,21
1432,65
1434,67
1424,57
1425,69
1426,63
1445,54
1433,57
1450,199
1438,29
1439,38
1443,44
1444,34
1456,101
1446,65
1447,43
1460,46
1451,50
1454,37
1455,116
1464,24
1457,40
1458,106
1459,130
1469,59
1461,20
1462,79
1463,53
1564,66
1466,22
1467,67
1488,17
1475,295
1476,66
1479,44
1480,60
1481,16
1482,183
1484,38
1485,44
1486,35
1487,32
1504,34
1489,60
1490,24
